site,pv_kwp,battery_kwh,mult,capex,stress,battery_life_yr,cash_day,ch4_kg_per_day,payback
London,700.0,500.0,0.0,615000.0,1.422706905822772,10.242813194402485,150.66444987706916,33.603545820887035,inf
London,700.0,500.0,0.025,644497.5811490855,1.422706905822772,10.242813194402485,148.2399911524868,33.603545820887035,inf
London,700.0,500.0,0.05,673995.1622981711,1.422706905822772,10.242813194402485,145.81553242790443,33.603545820887035,inf
London,700.0,500.0,0.075,703492.7434472565,1.422706905822772,10.242813194402485,143.39107370332206,33.603545820887035,inf
London,700.0,500.0,0.1,732990.324596342,1.422706905822772,10.242813194402485,140.9666149787397,33.603545820887035,inf
London,700.0,500.0,0.125,762487.9057454276,1.422706905822772,10.242813194402485,138.5421562541573,33.603545820887035,inf
London,700.0,500.0,0.15,791985.4868945131,1.422706905822772,10.242813194402485,136.11769752957494,33.603545820887035,inf
London,700.0,500.0,0.175,821483.0680435987,1.422706905822772,10.242813194402485,133.69323880499257,33.603545820887035,inf
London,700.0,500.0,0.2,850980.6491926841,1.422706905822772,10.242813194402485,131.2687800804102,33.603545820887035,inf
London,700.0,500.0,0.225,880478.2303417696,1.422706905822772,10.242813194402485,128.84432135582784,33.603545820887035,inf
London,700.0,500.0,0.25,909975.8114908552,1.422706905822772,10.242813194402485,126.41986263124546,33.603545820887035,inf
London,700.0,500.0,0.275,939473.3926399406,1.422706905822772,10.242813194402485,123.9954039066631,33.603545820887035,inf
London,700.0,500.0,0.3,968970.9737890263,1.422706905822772,10.242813194402485,121.57094518208072,33.603545820887035,inf
London,700.0,500.0,0.325,998468.5549381117,1.422706905822772,10.242813194402485,119.14648645749836,33.603545820887035,inf
London,700.0,500.0,0.35,1027966.1360871972,1.422706905822772,10.242813194402485,116.72202773291598,33.603545820887035,inf
London,700.0,500.0,0.375,1057463.7172362828,1.422706905822772,10.242813194402485,114.2975690083336,33.603545820887035,inf
London,700.0,500.0,0.4,1086961.2983853682,1.422706905822772,10.242813194402485,111.87311028375125,33.603545820887035,inf
London,700.0,500.0,0.425,1116458.8795344536,1.422706905822772,10.242813194402485,109.44865155916887,33.603545820887035,inf
